GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A000	moeA5	enables	GO:0003870	5-aminolevulinate synthase activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010961	67581	InterPro		F
UniProtKB	A0A000	moeA5	enables	GO:0003870	5-aminolevulinate synthase activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000343739	67581	TreeGrafter		F
UniProtKB	A0A000	moeA5	enables	GO:0030170	pyridoxal phosphate binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004839|InterPro:IPR010961	67581	InterPro		F
UniProtKB	A0A000	moeA5	involved_in	GO:0006783	heme biosynthetic process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000343739	67581	TreeGrafter		P
UniProtKB	A0A000	moeA5	involved_in	GO:0009058	biosynthetic process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028367	67581	UniProt		P
UniProtKB	A0A000	moeA5	involved_in	GO:0033014	tetrapyrrole biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010961	67581	InterPro		P
UniProtKB	A0A001	moeD5	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003439|InterPro:IPR011527|InterPro:IPR017871|InterPro:IPR036640	67581	InterPro		F
UniProtKB	A0A001	moeD5	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	67581	UniProt		F
UniProtKB	A0A001	moeD5	enables	GO:0016887	ATP hydrolysis activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003439|InterPro:IPR003593|InterPro:IPR017871	67581	InterPro		F
UniProtKB	A0A001	moeD5	enables	GO:0140359	ABC-type transporter activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011527	67581	InterPro		F
UniProtKB	A0A001	moeD5	involved_in	GO:0055085	transmembrane transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011527	67581	InterPro		P
UniProtKB	A0A001	moeD5	located_in	GO:0016020	membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011527|InterPro:IPR036640	67581	InterPro		C
UniProtKB	A0A001	moeD5	located_in	GO:0016020	membrane	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	67581	UniProt		C
UniProtKB	A0A001	moeD5	located_in	GO:0016020	membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	67581	UniProt		C
UniProtKB	A0A002	A0A002	enables	GO:0005524	ATP binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003439|InterPro:IPR011527|InterPro:IPR036640	67581	InterPro		F
UniProtKB	A0A002	A0A002	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	67581	UniProt		F
UniProtKB	A0A002	A0A002	enables	GO:0015421	ABC-type oligopeptide transporter activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001200719	67581	TreeGrafter		F
UniProtKB	A0A002	A0A002	enables	GO:0016887	ATP hydrolysis activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003439|InterPro:IPR003593	67581	InterPro		F
UniProtKB	A0A002	A0A002	enables	GO:0140359	ABC-type transporter activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011527	67581	InterPro		F
UniProtKB	A0A002	A0A002	involved_in	GO:0035672	oligopeptide transmembrane transport	ECO:0000366	IEA	GO_REF:0000108	GO:0015421	67581	GOC		P
UniProtKB	A0A002	A0A002	involved_in	GO:0055085	transmembrane transport	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011527	67581	InterPro		P
UniProtKB	A0A002	A0A002	located_in	GO:0016020	membrane	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011527|InterPro:IPR036640	67581	InterPro		C
UniProtKB	A0A002	A0A002	located_in	GO:0016020	membrane	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0472	67581	UniProt		C
UniProtKB	A0A002	A0A002	located_in	GO:0016020	membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	67581	UniProt		C
UniProtKB	A0A003	moeE5	enables	GO:0000166	nucleotide binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	67581	UniProt		F
UniProtKB	A0A004	moeF5	enables	GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001962|InterPro:IPR006426	67581	InterPro		F
UniProtKB	A0A004	moeF5	enables	GO:0005524	ATP binding	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0067	67581	UniProt		F
UniProtKB	A0A004	moeF5	involved_in	GO:0006529	asparagine biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001962|InterPro:IPR006426	67581	InterPro		P
UniProtKB	A0A004	moeF5	involved_in	GO:0006529	asparagine biosynthetic process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0061	67581	UniProt		P
UniProtKB	A0A004	moeF5	involved_in	GO:0006541	glutamine metabolic process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0315	67581	UniProt		P
UniProtKB	A0A004	moeF5	located_in	GO:0005829	cytosol	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000206517	67581	TreeGrafter		C
UniProtKB	A0A005	moeGT1	enables	GO:0016757	glycosyltransferase activity	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN000470555	67581	TreeGrafter		F
UniProtKB	A0A006	moeH5	enables	GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001962	67581	InterPro		F
UniProtKB	A0A006	moeH5	involved_in	GO:0006529	asparagine biosynthetic process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001962	67581	InterPro		P
